Motacilla alba
Sylvia communis
Sylvia atricapilla
Erithacus rubecula
Phoenicurus phoenicurus
Carduelis carduelis
Acrocephalus palustris
Phylloscopus trochilus
Turdus merula
Sylvia curruca
Phylloscopus collybita
Parus major
Passer montanus
Carpodacus erythrinus
Prunella modularis
Fringilla coelebs
Acrocephalus arundinaceus
Emberiza schoeniclus
Locustella luscinioides
Serinus serinus
Cyanistes caeruleus
Periparus ater
Delichon urbicum
Hirundo rustica
Passer domesticus
Troglodytes troglodytes
Lanius collurio
Chloris chloris
Turdus philomelos
Sturnus vulgaris
Spinus spinus
Anthus pratensis
Pyrrhula pyrrhula pyrrhula
Fringilla montifringilla
